io	variableGroup	variableName	uri	valueType	allowedVariableValues
output	Variant	4_146780951_A_G	TBD	Number	1
output	Variant	4_146781251_C_T	TBD	Number	1
output	Variant	4_146781874_G_A	TBD	Number	1
output	Variant	4_146782837_C_A	TBD	Number	1
output	Variant	4_146784822_C_T	TBD	Number	1
output	Variant	4_146785295_A_G	TBD	Number	1
output	Variant	4_146792116_A_T	TBD	Number	1
output	Variant	4_146797538_A_G	TBD	Number	1
output	Variant	4_146800814_C_T	TBD	Number	1
output	Variant	4_146805061_T_C	TBD	Number	1
output	Variant	4_146807997_C_T	TBD	Number	1
output	Variant	4_146809898_T_C	TBD	Number	1
output	Variant	4_146809998_T_G	TBD	Number	1
output	Variant	4_147024895_T_A	TBD	Number	1
output	Variant	4_148105347_G_A	TBD	Number	1
output	Variant	4_148107648_T_A	TBD	Number	1
output	Variant	4_148138375_C_A	TBD	Number	1
output	Variant	4_148148844_G_C	TBD	Number	1
output	Variant	4_148159438_A_G	TBD	Number	1
output	Variant	4_148174084_G_T	TBD	Number	1
output	Variant	4_148178355_C_T	TBD	Number	1
output	Variant	4_148191249_G_T	TBD	Number	1
output	Variant	4_148200205_G_A	TBD	Number	1
output	Variant	4_148214138_G_A	TBD	Number	1
output	Variant	4_148214463_C_T	TBD	Number	1
output	Variant	4_148219067_C_T	TBD	Number	1
output	Variant	4_148236732_T_C	TBD	Number	1
output	Variant	4_148248746_A_G	TBD	Number	1
output	Variant	4_148253070_C_A	TBD	Number	1
output	Variant	4_148256735_T_C	TBD	Number	1
output	Variant	4_148268027_G_A	TBD	Number	1
output	Variant	4_148270945_C_T	TBD	Number	1
output	Variant	4_148272795_T_C	TBD	Number	1
output	Variant	4_148273397_G_A	TBD	Number	1
output	Variant	4_148276043_T_C	TBD	Number	1
output	Variant	4_148276400_A_G	TBD	Number	1
output	Variant	4_148278760_C_T	TBD	Number	1
output	Variant	4_148278846_C_T	TBD	Number	1
output	Variant	4_148278891_C_T	TBD	Number	1
output	Variant	4_148279084_C_T	TBD	Number	1
output	Variant	4_148280874_T_G	TBD	Number	1
output	Variant	4_148281001_C_G	TBD	Number	1
output	Variant	4_148281812_C_T	TBD	Number	1
output	Variant	4_148282109_C_T	TBD	Number	1
output	Variant	4_148283140_T_C	TBD	Number	1
output	Variant	4_148283784_G_A	TBD	Number	1
output	Variant	4_148284104_T_A	TBD	Number	1
output	Variant	4_148284373_T_C	TBD	Number	1
output	Variant	4_148285767_G_A	TBD	Number	1
output	Variant	4_148287360_C_T	TBD	Number	1
output	Variant	4_148287512_C_T	TBD	Number	1
output	Variant	4_148287636_C_T	TBD	Number	1
output	Variant	4_148288067_T_C	TBD	Number	1
output	Variant	4_148288900_T_C	TBD	Number	1
output	Variant	4_148289389_T_C	TBD	Number	1
output	Variant	4_148290818_G_A	TBD	Number	1
output	Variant	4_148291242_C_T	TBD	Number	1
output	Variant	4_148291243_T_C	TBD	Number	1
output	Variant	4_148291438_G_A	TBD	Number	1
output	Variant	4_148291581_C_T	TBD	Number	1
output	Variant	4_148293595_T_G	TBD	Number	1
output	Variant	4_148295327_T_A	TBD	Number	1
output	Variant	4_148296025_A_G	TBD	Number	1
output	Variant	4_148296166_T_C	TBD	Number	1
output	Variant	4_148296557_G_A	TBD	Number	1
output	Variant	4_148296857_G_A	TBD	Number	1
output	Variant	4_148297180_G_A	TBD	Number	1
output	Variant	4_148357743_A_T	TBD	Number	1
output	Variant	4_148364065_C_T	TBD	Number	1
output	Variant	4_148364350_C_G	TBD	Number	1
output	Variant	4_148364920_G_A	TBD	Number	1
output	Variant	4_148365339_T_A	TBD	Number	1
output	Variant	4_148370548_A_G	TBD	Number	1
output	Variant	4_148370717_T_A	TBD	Number	1
output	Variant	4_148374767_G_A	TBD	Number	1
output	Variant	4_148375242_C_T	TBD	Number	1
output	Variant	4_148377069_T_C	TBD	Number	1
output	Variant	4_148378225_G_A	TBD	Number	1
output	Variant	4_148378442_T_C	TBD	Number	1
output	Variant	4_148378604_C_T	TBD	Number	1
output	Variant	4_148378796_T_C	TBD	Number	1
output	Variant	4_148378849_G_A	TBD	Number	1
output	Variant	4_148379056_T_C	TBD	Number	1
output	Variant	4_148380348_G_T	TBD	Number	1
output	Variant	4_148381253_G_A	TBD	Number	1
output	Variant	4_148383424_G_A	TBD	Number	1
output	Variant	4_148384077_T_C	TBD	Number	1
output	Variant	4_148385721_C_G	TBD	Number	1
output	Variant	4_148387701_A_G	TBD	Number	1
output	Variant	4_148389885_G_A	TBD	Number	1
output	Variant	4_148391703_C_T	TBD	Number	1
output	Variant	4_148392728_C_T	TBD	Number	1
output	Variant	4_148393664_C_T	TBD	Number	1
output	Variant	4_148396094_A_G	TBD	Number	1
output	Variant	4_148397751_G_T	TBD	Number	1
output	Variant	4_148400011_A_G	TBD	Number	1
output	Variant	4_148400256_T_C	TBD	Number	1
output	Variant	4_148400413_C_T	TBD	Number	1
output	Variant	4_148400819_C_A	TBD	Number	1
output	Variant	4_148401190_G_A	TBD	Number	1
output	Variant	4_148407652_C_T	TBD	Number	1
output	Variant	4_148414651_T_C	TBD	Number	1
output	Variant	4_148427503_A_C	TBD	Number	1
output	Variant	4_148429483_G_T	TBD	Number	1
output	Variant	4_148432862_T_G	TBD	Number	1
output	Variant	4_148438619_G_C	TBD	Number	1
output	Variant	4_152872349_T_C	TBD	Number	1
output	Variant	4_152882685_A_T	TBD	Number	1
output	Variant	4_152907581_A_G	TBD	Number	1
output	Variant	4_152908169_G_A	TBD	Number	1
output	Variant	4_153252061_A_G	TBD	Number	1
output	Variant	4_153254121_C_T	TBD	Number	1
output	Variant	4_153294875_T_C	TBD	Number	1
output	Variant	4_153411843_T_C	TBD	Number	1
output	Variant	4_153515580_A_G	TBD	Number	1
output	Variant	4_153520475_C_T	TBD	Number	1
output	Variant	4_156397273_T_C	TBD	Number	1
output	Variant	4_156420605_A_T	TBD	Number	1
output	Variant	4_156422512_G_A	TBD	Number	1
output	Variant	4_156426284_C_T	TBD	Number	1
output	Variant	4_156432025_C_T	TBD	Number	1
output	Variant	4_156432368_A_C	TBD	Number	1
output	Variant	4_156433308_G_A	TBD	Number	1
output	Variant	4_156433520_G_T	TBD	Number	1
output	Variant	4_156434164_A_C	TBD	Number	1
output	Variant	4_156434917_A_G	TBD	Number	1
output	Variant	4_156435009_A_T	TBD	Number	1
output	Variant	4_156435240_T_C	TBD	Number	1
output	Variant	4_156435717_G_A	TBD	Number	1
output	Variant	4_156436507_G_A	TBD	Number	1
output	Variant	4_156436517_A_C	TBD	Number	1
output	Variant	4_156437388_C_T	TBD	Number	1
output	Variant	4_156438440_C_T	TBD	Number	1
output	Variant	4_156439190_A_T	TBD	Number	1
output	Variant	4_156441314_G_A	TBD	Number	1
output	Variant	4_156442146_T_A	TBD	Number	1
output	Variant	4_156442666_C_T	TBD	Number	1
output	Variant	4_156443314_C_T	TBD	Number	1
output	Variant	4_156445180_T_C	TBD	Number	1
output	Variant	4_156447469_A_G	TBD	Number	1
output	Variant	4_156447611_A_G	TBD	Number	1
output	Variant	4_156472172_T_G	TBD	Number	1
output	Variant	4_156472766_T_C	TBD	Number	1
output	Variant	4_156474794_A_T	TBD	Number	1
output	Variant	4_156478647_C_T	TBD	Number	1
output	Variant	4_156479710_G_A	TBD	Number	1
output	Variant	4_156486040_A_G	TBD	Number	1
output	Variant	4_156487119_T_G	TBD	Number	1
output	Variant	4_156489443_A_T	TBD	Number	1
output	Variant	4_156489668_G_C	TBD	Number	1
output	Variant	4_156491787_G_T	TBD	Number	1
output	Variant	4_156492946_G_A	TBD	Number	1
output	Variant	4_156492983_A_G	TBD	Number	1
output	Variant	4_156493735_C_G	TBD	Number	1
output	Variant	4_156494177_T_C	TBD	Number	1
output	Variant	4_156494435_C_T	TBD	Number	1
output	Variant	4_156494446_G_A	TBD	Number	1
output	Variant	4_156494547_G_A	TBD	Number	1
output	Variant	4_156495740_T_G	TBD	Number	1
output	Variant	4_156498574_C_T	TBD	Number	1
output	Variant	4_156499671_A_G	TBD	Number	1
output	Variant	4_156499985_A_G	TBD	Number	1
output	Variant	4_156500647_G_A	TBD	Number	1
output	Variant	4_156500770_T_C	TBD	Number	1
output	Variant	4_156500997_G_C	TBD	Number	1
output	Variant	4_156501101_A_C	TBD	Number	1
output	Variant	4_156501170_A_T	TBD	Number	1
output	Variant	4_156501307_G_A	TBD	Number	1
output	Variant	4_156501876_A_G	TBD	Number	1
output	Variant	4_156501898_T_C	TBD	Number	1
output	Variant	4_156502278_C_A	TBD	Number	1
output	Variant	4_156502448_T_A	TBD	Number	1
output	Variant	4_156502769_G_C	TBD	Number	1
output	Variant	4_156502857_A_G	TBD	Number	1
output	Variant	4_156503114_G_C	TBD	Number	1
output	Variant	4_156503357_A_G	TBD	Number	1
output	Variant	4_156503399_G_C	TBD	Number	1
output	Variant	4_156503440_G_A	TBD	Number	1
output	Variant	4_156504520_T_C	TBD	Number	1
output	Variant	4_156504838_C_G	TBD	Number	1
output	Variant	4_156504941_T_C	TBD	Number	1
output	Variant	4_156504948_G_A	TBD	Number	1
output	Variant	4_156505080_T_C	TBD	Number	1
output	Variant	4_156506869_T_C	TBD	Number	1
output	Variant	4_156507173_A_T	TBD	Number	1
output	Variant	4_156507678_C_G	TBD	Number	1
output	Variant	4_156507818_A_G	TBD	Number	1
output	Variant	4_156509595_C_T	TBD	Number	1
output	Variant	4_156510442_T_C	TBD	Number	1
output	Variant	4_156511302_C_T	TBD	Number	1
output	Variant	4_156511396_C_G	TBD	Number	1
output	Variant	4_156511459_G_T	TBD	Number	1
output	Variant	4_156511646_A_G	TBD	Number	1
output	Variant	4_156514725_T_A	TBD	Number	1
output	Variant	4_156514879_G_A	TBD	Number	1
output	Variant	4_156514942_A_T	TBD	Number	1
output	Variant	4_156515995_A_G	TBD	Number	1
output	Variant	4_156516730_G_A	TBD	Number	1
output	Variant	4_156614184_C_T	TBD	Number	1
output	Variant	4_156614187_G_C	TBD	Number	1
output	Variant	4_156614217_A_C	TBD	Number	1
output	Variant	4_156615404_C_T	TBD	Number	1
output	Variant	4_156616621_A_G	TBD	Number	1
output	Variant	4_156617994_G_A	TBD	Number	1
output	Variant	4_156619204_T_C	TBD	Number	1
output	Variant	4_156620217_G_A	TBD	Number	1
output	Variant	4_156622727_G_T	TBD	Number	1
output	Variant	4_156626078_G_A	TBD	Number	1
output	Variant	4_156626588_C_T	TBD	Number	1
output	Variant	4_156628921_A_G	TBD	Number	1
output	Variant	4_156631345_T_C	TBD	Number	1
output	Variant	4_156633444_C_T	TBD	Number	1
output	Variant	4_156634946_C_G	TBD	Number	1
output	Variant	4_156635309_G_A	TBD	Number	1
output	Variant	4_156638073_C_G	TBD	Number	1
output	Variant	4_156638142_C_T	TBD	Number	1
output	Variant	4_156638573_A_G	TBD	Number	1
output	Variant	4_156638867_A_G	TBD	Number	1
output	Variant	4_156639174_G_A	TBD	Number	1
output	Variant	4_156639846_A_G	TBD	Number	1
output	Variant	4_156639888_G_T	TBD	Number	1
output	Variant	4_156641047_G_A	TBD	Number	1
output	Variant	4_156642012_A_G	TBD	Number	1
output	Variant	4_156642243_T_C	TBD	Number	1
output	Variant	4_156642270_T_A	TBD	Number	1
output	Variant	4_156642800_T_C	TBD	Number	1
output	Variant	4_156642884_A_G	TBD	Number	1
output	Variant	4_156643176_T_A	TBD	Number	1
output	Variant	4_156643803_C_T	TBD	Number	1
output	Variant	4_156644015_C_A	TBD	Number	1
output	Variant	4_156645298_C_G	TBD	Number	1
output	Variant	4_156645513_C_A	TBD	Number	1
output	Variant	4_156645933_G_A	TBD	Number	1
output	Variant	4_156646340_T_A	TBD	Number	1
output	Variant	4_156659819_A_C	TBD	Number	1
output	Variant	4_156661063_C_A	TBD	Number	1
output	Variant	4_156663104_C_T	TBD	Number	1
output	Variant	4_156663407_C_A	TBD	Number	1
output	Variant	4_156664810_A_T	TBD	Number	1
output	Variant	4_156665074_A_G	TBD	Number	1
output	Variant	4_156666219_G_A	TBD	Number	1
output	Variant	4_156672738_G_A	TBD	Number	1
output	Variant	4_156675527_A_G	TBD	Number	1
output	Variant	4_156675593_T_G	TBD	Number	1
output	Variant	4_156675601_A_G	TBD	Number	1
output	Variant	4_156676248_T_C	TBD	Number	1
output	Variant	4_156676272_A_C	TBD	Number	1
output	Variant	4_156676501_C_T	TBD	Number	1
output	Variant	4_156676558_G_A	TBD	Number	1
output	Variant	4_156676675_G_T	TBD	Number	1
output	Variant	4_156676813_A_C	TBD	Number	1
output	Variant	4_156676909_C_T	TBD	Number	1
output	Variant	4_156677495_G_T	TBD	Number	1
output	Variant	4_156677592_C_T	TBD	Number	1
output	Variant	4_156678779_T_A	TBD	Number	1
output	Variant	4_159991710_A_C	TBD	Number	1
output	Variant	4_160039495_A_G	TBD	Number	1
output	Variant	4_162279385_C_A	TBD	Number	1
output	Variant	4_162280909_C_G	TBD	Number	1
output	Variant	4_162284626_A_G	TBD	Number	1
output	Variant	4_162285366_G_C	TBD	Number	1
output	Variant	4_162317986_C_T	TBD	Number	1
output	Variant	4_162324909_C_A	TBD	Number	1
output	Variant	4_162354095_C_A	TBD	Number	1
output	Variant	4_163799758_C_T	TBD	Number	1
output	Variant	4_163801072_T_G	TBD	Number	1
output	Variant	4_163801096_T_C	TBD	Number	1
output	Variant	4_163802929_G_A	TBD	Number	1
output	Variant	4_163808442_T_C	TBD	Number	1
output	Variant	4_163817354_A_G	TBD	Number	1
output	Variant	4_163817860_G_A	TBD	Number	1
output	Variant	4_169687725_T_G	TBD	Number	1
output	Variant	4_169688000_C_A	TBD	Number	1
output	Variant	4_180618666_C_T	TBD	Number	1
output	Variant	4_180654368_C_T	TBD	Number	1
output	Variant	4_183684034_A_G	TBD	Number	1
output	Variant	4_184682414_T_G	TBD	Number	1
output	Variant	4_185708595_A_G	TBD	Number	1
output	Variant	4_185714289_G_T	TBD	Number	1
output	Variant	4_185716232_T_C	TBD	Number	1
output	Variant	4_188190117_C_T	TBD	Number	1
output	Variant	4_188190219_G_T	TBD	Number	1
output	Variant	4_188191306_C_A	TBD	Number	1
output	Variant	4_188191516_C_T	TBD	Number	1
output	Variant	4_188201350_T_G	TBD	Number	1
output	Variant	4_188225183_G_A	TBD	Number	1
output	Variant	4_189110116_C_T	TBD	Number	1
output	Variant	5_700999_T_G	TBD	Number	1
output	Variant	5_1496622_C_T	TBD	Number	1
output	Variant	5_1691202_C_G	TBD	Number	1
output	Variant	5_4006099_C_T	TBD	Number	1
output	Variant	5_4006143_G_C	TBD	Number	1
output	Variant	5_4007094_T_G	TBD	Number	1
output	Variant	5_4007353_C_T	TBD	Number	1
output	Variant	5_4007914_C_A	TBD	Number	1
output	Variant	5_4008320_A_G	TBD	Number	1
output	Variant	5_4008448_A_G	TBD	Number	1
output	Variant	5_4008585_C_T	TBD	Number	1
output	Variant	5_4009402_C_G	TBD	Number	1
output	Variant	5_4010135_C_G	TBD	Number	1
output	Variant	5_4010817_T_G	TBD	Number	1
output	Variant	5_4010954_G_A	TBD	Number	1
output	Variant	5_4011111_C_T	TBD	Number	1
output	Variant	5_4011144_C_A	TBD	Number	1
output	Variant	5_4011156_C_T	TBD	Number	1
output	Variant	5_4011171_A_G	TBD	Number	1
output	Variant	5_4011549_G_A	TBD	Number	1
output	Variant	5_4011583_G_A	TBD	Number	1
output	Variant	5_4011747_G_C	TBD	Number	1
output	Variant	5_4011811_T_C	TBD	Number	1
output	Variant	5_4012213_T_C	TBD	Number	1
output	Variant	5_4012245_T_C	TBD	Number	1
output	Variant	5_4012303_T_C	TBD	Number	1
output	Variant	5_4012356_C_G	TBD	Number	1
output	Variant	5_4012422_G_A	TBD	Number	1
output	Variant	5_4012486_A_G	TBD	Number	1
output	Variant	5_4012694_G_A	TBD	Number	1
output	Variant	5_4013385_C_T	TBD	Number	1
output	Variant	5_4013641_C_T	TBD	Number	1
output	Variant	5_4014659_G_A	TBD	Number	1
output	Variant	5_4014754_C_T	TBD	Number	1
output	Variant	5_4014951_G_A	TBD	Number	1
output	Variant	5_4017900_A_C	TBD	Number	1
output	Variant	5_4017960_T_G	TBD	Number	1
output	Variant	5_4018881_T_C	TBD	Number	1
output	Variant	5_4018972_T_C	TBD	Number	1
output	Variant	5_4018995_A_G	TBD	Number	1
output	Variant	5_4019561_T_A	TBD	Number	1
output	Variant	5_4019858_C_A	TBD	Number	1
output	Variant	5_4020249_C_T	TBD	Number	1
output	Variant	5_4020601_G_A	TBD	Number	1
output	Variant	5_4021075_T_C	TBD	Number	1
output	Variant	5_4021183_G_A	TBD	Number	1
output	Variant	5_4021401_G_A	TBD	Number	1
output	Variant	5_4022182_T_G	TBD	Number	1
output	Variant	5_4022280_G_T	TBD	Number	1
output	Variant	5_4022374_C_T	TBD	Number	1
output	Variant	5_4022574_A_C	TBD	Number	1
output	Variant	5_4022599_A_G	TBD	Number	1
output	Variant	5_4023090_A_G	TBD	Number	1
output	Variant	5_4023316_G_A	TBD	Number	1
output	Variant	5_4023730_C_T	TBD	Number	1
output	Variant	5_4023799_A_G	TBD	Number	1
output	Variant	5_4023892_A_T	TBD	Number	1
output	Variant	5_4024072_T_C	TBD	Number	1
output	Variant	5_4024640_A_G	TBD	Number	1
output	Variant	5_4024697_C_A	TBD	Number	1
output	Variant	5_4024879_A_G	TBD	Number	1
output	Variant	5_4024881_T_C	TBD	Number	1
output	Variant	5_4024922_T_A	TBD	Number	1
output	Variant	5_4025206_T_C	TBD	Number	1
output	Variant	5_4025283_G_A	TBD	Number	1
output	Variant	5_4025324_T_C	TBD	Number	1
output	Variant	5_4025704_T_A	TBD	Number	1
output	Variant	5_4025754_A_G	TBD	Number	1
output	Variant	5_4026037_C_T	TBD	Number	1
output	Variant	5_4027324_C_T	TBD	Number	1
output	Variant	5_4027470_A_T	TBD	Number	1
output	Variant	5_4027756_A_G	TBD	Number	1
output	Variant	5_4029789_C_T	TBD	Number	1
output	Variant	5_4031987_C_T	TBD	Number	1
output	Variant	5_4032849_A_G	TBD	Number	1
output	Variant	5_4033785_G_C	TBD	Number	1
output	Variant	5_4036227_C_G	TBD	Number	1
output	Variant	5_4041959_A_G	TBD	Number	1
output	Variant	5_4042692_T_G	TBD	Number	1
output	Variant	5_4044065_C_T	TBD	Number	1
output	Variant	5_4044357_C_T	TBD	Number	1
output	Variant	5_4045645_C_T	TBD	Number	1
output	Variant	5_4047315_C_A	TBD	Number	1
output	Variant	5_4047892_A_G	TBD	Number	1
output	Variant	5_4048526_T_C	TBD	Number	1
output	Variant	5_4048803_T_C	TBD	Number	1
output	Variant	5_4051072_T_C	TBD	Number	1
output	Variant	5_4054849_G_C	TBD	Number	1
output	Variant	5_4057889_A_G	TBD	Number	1
output	Variant	5_4058398_T_C	TBD	Number	1
output	Variant	5_4064360_C_G	TBD	Number	1
output	Variant	5_4064371_C_G	TBD	Number	1
output	Variant	5_4065252_T_C	TBD	Number	1
output	Variant	5_4068633_C_T	TBD	Number	1
output	Variant	5_4068808_C_T	TBD	Number	1
output	Variant	5_6753728_G_A	TBD	Number	1
output	Variant	5_7519298_A_G	TBD	Number	1
output	Variant	5_7520881_G_T	TBD	Number	1
output	Variant	5_7546287_A_G	TBD	Number	1
output	Variant	5_7546411_C_T	TBD	Number	1
output	Variant	5_9538296_T_C	TBD	Number	1
output	Variant	5_9539235_C_T	TBD	Number	1
output	Variant	5_9539679_C_A	TBD	Number	1
output	Variant	5_9539989_G_A	TBD	Number	1
output	Variant	5_9540002_T_C	TBD	Number	1
output	Variant	5_9540856_C_T	TBD	Number	1
output	Variant	5_9541160_T_C	TBD	Number	1
output	Variant	5_9541451_T_C	TBD	Number	1
output	Variant	5_9543031_C_T	TBD	Number	1
output	Variant	5_9543270_G_A	TBD	Number	1
output	Variant	5_9543449_A_C	TBD	Number	1
output	Variant	5_9543585_C_T	TBD	Number	1
output	Variant	5_9544278_A_G	TBD	Number	1
output	Variant	5_9546098_A_G	TBD	Number	1
output	Variant	5_9546135_C_T	TBD	Number	1
output	Variant	5_14847331_G_A	TBD	Number	1
output	Variant	5_18500953_G_A	TBD	Number	1
output	Variant	5_21919536_C_T	TBD	Number	1
output	Variant	5_28384724_A_C	TBD	Number	1
output	Variant	5_34392866_C_T	TBD	Number	1
output	Variant	5_51861437_A_G	TBD	Number	1
output	Variant	5_52193125_A_G	TBD	Number	1
output	Variant	5_52193237_A_G	TBD	Number	1
output	Variant	5_53271420_G_A	TBD	Number	1
output	Variant	5_53272664_G_A	TBD	Number	1
output	Variant	5_54317900_C_T	TBD	Number	1
output	Variant	5_55796319_C_T	TBD	Number	1
output	Variant	5_55803533_G_A	TBD	Number	1
output	Variant	5_55806751_A_G	TBD	Number	1
output	Variant	5_55815892_A_G	TBD	Number	1
output	Variant	5_55816888_T_C	TBD	Number	1
output	Variant	5_55856375_G_T	TBD	Number	1
output	Variant	5_55860781_A_G	TBD	Number	1
output	Variant	5_55860866_G_T	TBD	Number	1
output	Variant	5_55861359_G_A	TBD	Number	1
output	Variant	5_55861786_C_T	TBD	Number	1
output	Variant	5_55861894_G_A	TBD	Number	1
output	Variant	5_60513501_A_G	TBD	Number	1
output	Variant	5_62277384_C_T	TBD	Number	1
output	Variant	5_76096711_A_G	TBD	Number	1
output	Variant	5_76097709_G_A	TBD	Number	1
output	Variant	5_76098345_G_A	TBD	Number	1
output	Variant	5_76098649_C_A	TBD	Number	1
output	Variant	5_76099562_A_C	TBD	Number	1
output	Variant	5_76099769_C_T	TBD	Number	1
output	Variant	5_76100971_G_A	TBD	Number	1
output	Variant	5_76101240_G_A	TBD	Number	1
output	Variant	5_76141779_A_G	TBD	Number	1
output	Variant	5_76424949_G_A	TBD	Number	1
output	Variant	5_76425060_G_C	TBD	Number	1
output	Variant	5_76425867_G_A	TBD	Number	1
output	Variant	5_76427311_G_A	TBD	Number	1
output	Variant	5_76430636_C_G	TBD	Number	1
output	Variant	5_76435004_G_A	TBD	Number	1
output	Variant	5_76435346_G_A	TBD	Number	1
output	Variant	5_76439250_G_A	TBD	Number	1
output	Variant	5_87310165_G_A	TBD	Number	1
output	Variant	5_94589705_T_C	TBD	Number	1
output	Variant	5_96325101_T_A	TBD	Number	1
output	Variant	5_101591422_G_A	TBD	Number	1
output	Variant	5_101592742_T_C	TBD	Number	1
output	Variant	5_101595558_C_T	TBD	Number	1
output	Variant	5_101596244_C_T	TBD	Number	1
output	Variant	5_101596633_G_T	TBD	Number	1
output	Variant	5_101600837_A_G	TBD	Number	1
output	Variant	5_101605641_T_C	TBD	Number	1
output	Variant	5_101605942_T_C	TBD	Number	1
output	Variant	5_101608346_G_A	TBD	Number	1
output	Variant	5_101620174_T_C	TBD	Number	1
output	Variant	5_101620464_A_C	TBD	Number	1
output	Variant	5_101622517_G_A	TBD	Number	1
output	Variant	5_101631343_G_A	TBD	Number	1
output	Variant	5_101647925_C_T	TBD	Number	1
output	Variant	5_101679449_T_C	TBD	Number	1
output	Variant	5_101728519_C_G	TBD	Number	1
output	Variant	5_101729504_C_T	TBD	Number	1
output	Variant	5_101729829_C_T	TBD	Number	1
output	Variant	5_101736641_C_T	TBD	Number	1
output	Variant	5_101745019_G_A	TBD	Number	1
output	Variant	5_101755430_T_C	TBD	Number	1
output	Variant	5_101762909_A_G	TBD	Number	1
output	Variant	5_101773239_A_G	TBD	Number	1
output	Variant	5_101775267_G_A	TBD	Number	1
output	Variant	5_101775339_T_C	TBD	Number	1
output	Variant	5_101795490_A_G	TBD	Number	1
output	Variant	5_101803412_G_A	TBD	Number	1
output	Variant	5_102100576_C_T	TBD	Number	1
output	Variant	5_107295755_C_G	TBD	Number	1
output	Variant	5_107303749_A_G	TBD	Number	1
output	Variant	5_107309348_A_T	TBD	Number	1
output	Variant	5_107316863_A_G	TBD	Number	1
output	Variant	5_107316915_G_A	TBD	Number	1
output	Variant	5_107317370_T_A	TBD	Number	1
output	Variant	5_107318611_C_T	TBD	Number	1
output	Variant	5_107323016_A_C	TBD	Number	1
output	Variant	5_107337950_C_G	TBD	Number	1
output	Variant	5_107338352_G_C	TBD	Number	1
output	Variant	5_107343923_T_C	TBD	Number	1
output	Variant	5_107344426_C_T	TBD	Number	1
output	Variant	5_107347395_C_T	TBD	Number	1
output	Variant	5_107348180_T_G	TBD	Number	1
output	Variant	5_107352294_A_G	TBD	Number	1
output	Variant	5_108055547_G_T	TBD	Number	1
output	Variant	5_111027410_C_T	TBD	Number	1
output	Variant	5_111028566_G_A	TBD	Number	1
output	Variant	5_112809728_C_T	TBD	Number	1
output	Variant	5_112927686_C_A	TBD	Number	1
output	Variant	5_116489450_T_G	TBD	Number	1
output	Variant	5_116490357_T_C	TBD	Number	1
output	Variant	5_116492464_A_T	TBD	Number	1
output	Variant	5_116492671_C_G	TBD	Number	1
output	Variant	5_116495797_G_A	TBD	Number	1
output	Variant	5_116497698_C_T	TBD	Number	1
output	Variant	5_116500651_C_A	TBD	Number	1
output	Variant	5_118617170_T_C	TBD	Number	1
output	Variant	5_121361750_T_A	TBD	Number	1
output	Variant	5_122650224_T_C	TBD	Number	1
output	Variant	5_122668002_G_A	TBD	Number	1
output	Variant	5_122668602_G_A	TBD	Number	1
output	Variant	5_122671476_G_A	TBD	Number	1
output	Variant	5_122673622_C_G	TBD	Number	1
output	Variant	5_122824678_A_G	TBD	Number	1
output	Variant	5_122827953_A_G	TBD	Number	1
output	Variant	5_122828560_A_C	TBD	Number	1
output	Variant	5_125385126_C_T	TBD	Number	1
output	Variant	5_125872017_G_A	TBD	Number	1
output	Variant	5_125872150_T_C	TBD	Number	1
output	Variant	5_126899015_G_A	TBD	Number	1
output	Variant	5_130407827_A_G	TBD	Number	1
output	Variant	5_130413981_A_G	TBD	Number	1
output	Variant	5_130418187_A_G	TBD	Number	1
output	Variant	5_133864599_G_A	TBD	Number	1
output	Variant	5_136813811_G_C	TBD	Number	1
output	Variant	5_136839964_C_T	TBD	Number	1
output	Variant	5_138844599_T_C	TBD	Number	1
output	Variant	5_138933151_T_G	TBD	Number	1
output	Variant	5_138969179_G_A	TBD	Number	1
output	Variant	5_138992703_A_G	TBD	Number	1
output	Variant	5_142494165_A_G	TBD	Number	1
output	Variant	5_152507916_C_T	TBD	Number	1
output	Variant	5_152548490_A_T	TBD	Number	1
output	Variant	5_152566888_G_A	TBD	Number	1
output	Variant	5_152797487_G_A	TBD	Number	1
output	Variant	5_152797656_C_G	TBD	Number	1
output	Variant	5_156113809_T_C	TBD	Number	1
output	Variant	5_156121269_C_T	TBD	Number	1
output	Variant	5_171971486_C_A	TBD	Number	1
output	Variant	5_171982124_C_G	TBD	Number	1
output	Variant	5_171984913_A_C	TBD	Number	1
output	Variant	5_173183362_C_T	TBD	Number	1
output	Variant	5_176726635_G_A	TBD	Number	1
output	Variant	6_205800_A_G	TBD	Number	1
output	Variant	6_1617143_C_T	TBD	Number	1
output	Variant	6_2671256_A_G	TBD	Number	1
output	Variant	6_2675271_C_T	TBD	Number	1
output	Variant	6_2676599_T_A	TBD	Number	1
output	Variant	6_2981772_A_G	TBD	Number	1
output	Variant	6_4515915_G_A	TBD	Number	1
output	Variant	6_5067324_C_A	TBD	Number	1
output	Variant	6_5069988_T_C	TBD	Number	1
output	Variant	6_5090056_C_T	TBD	Number	1
output	Variant	6_6909800_G_C	TBD	Number	1
output	Variant	6_6910197_C_G	TBD	Number	1
output	Variant	6_7195684_C_T	TBD	Number	1
output	Variant	6_7214499_C_T	TBD	Number	1
output	Variant	6_7240577_A_T	TBD	Number	1
output	Variant	6_7250270_G_A	TBD	Number	1
output	Variant	6_7275926_A_G	TBD	Number	1
output	Variant	6_7281654_A_G	TBD	Number	1
output	Variant	6_7290437_A_G	TBD	Number	1
output	Variant	6_7317608_G_A	TBD	Number	1
